road_point_id,lat,lon,road_name
R00000012,35.55218525290098,127.25819093252824,임삼로
R00000013,35.553927553441284,127.25841045384188,임삼로
R00000014,35.55563194623338,127.25837325417574,임삼로
R00000019,35.54858614356944,127.53715325664842,지지로
R00000020,35.54994515818005,127.53614946299622,지지로
R00000021,35.551396120210725,127.53547134392448,지지로
R00000022,35.55184000666043,127.53525329501696,지지로
R00000031,35.65049665711568,126.7205261746791,서해안고속도로
R00000032,35.65181422861156,126.72134429697596,서해안고속도로
R00000035,36.03680971410116,126.89057997367506,함안로
R00000036,36.03678693491104,126.89056500863256,함안로
R00000043,35.84759085437067,127.25583837197289,익산포항고속도로
R00000044,35.84588224655086,127.25654358907816,익산포항고속도로
R00000045,35.84416597864605,127.25721743169912,익산포항고속도로
R00000046,35.84241294076036,127.2577254421909,익산포항고속도로
R00000047,35.841864250115165,127.25784603377764,익산포항고속도로
R00000052,35.76742561655062,127.20646604483588,왜목로
R00000053,35.76709890554465,127.20610450574742,왜목로
R00000054,35.72296426652967,126.7219250858055,부안로
R00000055,35.723085877782246,126.72207399865472,부안로
R00000060,35.74907812104849,127.15549990784837,호남로
R00000061,35.748605570181915,127.15336665656471,호남로
R00000062,35.7483197088627,127.15214041659378,호남로
R00000063,35.75048532736554,127.59650278390208,장무로
R00000064,35.74912010342607,127.5954930180608,장무로
R00000065,35.74880131024227,127.59477166471687,장무로
R00000072,35.87749867084491,127.69272780967532,덕유산로
R00000073,35.87770520927974,127.6912237122943,덕유산로
R00000081,35.903760001302416,126.84046846136135,만경로
R00000082,35.90553100147387,126.8400672238241,만경로
R00000083,35.906030527491474,126.83994441759236,만경로
R00000084,35.54568426477675,126.86100707375122,정읍사로
R00000085,35.545599390892995,126.8609890580584,정읍사로
R00000086,35.93877121503406,126.68633579974993,새만금북로
R00000087,35.93876666316247,126.68620292463156,새만금북로
R00000090,35.60621872891657,126.91904173290531,칠북로
R00000091,35.606828630036844,126.91696609717764,칠북로
R00000092,35.607048887103865,126.9160320230976,칠북로
R00000093,36.08335912883717,126.88448063673094,강변로
R00000094,36.08455321605052,126.88442890821636,강변로
R00000095,35.72521143167609,127.23829024849078,순천완주고속도로
R00000096,35.72359454509779,127.23878510970732,순천완주고속도로
R00000097,35.97601278213001,127.20098117011295,고산로
R00000098,35.975595632823875,127.20313839688274,고산로
R00000099,35.97530065991412,127.20457003596891,고산로
R00000110,36.04556715150519,127.2349958586731,화산로
R00000111,36.0439794406492,127.23603362764894,화산로
R00000112,36.04380150299785,127.23612761829796,화산로
R00000113,35.905758750603205,127.01753874354156,평동로
