date,station_id,station_name,lat,lon,avg_temp,min_temp,max_temp,precipitation,snowfall,humidity
2024-01-01,JB01,전주,35.8242,127.148,-3.4,-8.72,1.93,0.0,0.14,54.84
2024-01-02,JB01,전주,35.8242,127.148,-0.91,-4.47,2.65,0.0,0.0,58.66
2024-01-03,JB01,전주,35.8242,127.148,1.87,-3.15,6.88,0.0,0.0,48.41
2024-01-04,JB01,전주,35.8242,127.148,1.31,-3.14,5.75,0.0,0.0,70.23
2024-01-05,JB01,전주,35.8242,127.148,-1.13,-5.16,2.9,0.0,0.0,61.65
2024-01-06,JB01,전주,35.8242,127.148,0.27,-4.7,5.25,0.0,0.0,52.88
2024-01-07,JB01,전주,35.8242,127.148,-2.62,-7.8,2.56,0.0,0.33,64.51
2024-01-08,JB01,전주,35.8242,127.148,1.17,-3.93,6.26,0.0,0.0,59.17
2024-01-09,JB01,전주,35.8242,127.148,-0.04,-5.49,5.42,13.53,0.0,75.14
2024-01-10,JB01,전주,35.8242,127.148,-4.0,-8.15,0.15,0.0,0.0,55.25
2024-01-11,JB01,전주,35.8242,127.148,3.15,-0.4,6.7,0.0,0.0,54.65
2024-01-12,JB01,전주,35.8242,127.148,0.02,-5.13,5.16,0.0,0.0,54.51
2024-01-13,JB01,전주,35.8242,127.148,-1.41,-6.85,4.03,0.0,0.0,46.67
2024-01-14,JB01,전주,35.8242,127.148,-2.43,-7.48,2.61,0.0,0.0,53.73
2024-01-15,JB01,전주,35.8242,127.148,0.23,-4.96,5.42,0.0,0.0,51.38
2024-01-16,JB01,전주,35.8242,127.148,-0.94,-5.02,3.14,0.0,0.0,53.31
2024-01-17,JB01,전주,35.8242,127.148,0.05,-4.98,5.08,0.0,0.0,57.02
2024-01-18,JB01,전주,35.8242,127.148,-0.91,-5.32,3.5,0.0,1.42,54.22
2024-01-19,JB01,전주,35.8242,127.148,3.32,-0.79,7.42,0.0,0.0,55.95
2024-01-20,JB01,전주,35.8242,127.148,-1.99,-6.11,2.14,0.0,0.0,62.34
