point_id,date,lat,lon,freeze_thaw_14d,rain_7d,rain_14d,sewer_old30_ratio,has_past_repair,days_since_last_repair,pothole_label
407,2025-12-31,36.005646,126.900915,12.0,3.429999999999993,17.97,0.0,0,,0
406,2025-12-31,36.00134,126.904199,12.0,3.429999999999993,17.97,0.0,0,,0
404,2025-12-31,35.993619,126.911571,12.0,3.429999999999993,17.97,0.0,0,,0
403,2025-12-31,35.991681,126.914419,12.0,3.429999999999993,17.97,0.0,0,,0
402,2025-12-31,35.987727,126.918278,12.0,3.429999999999993,17.97,0.0,0,,0
400,2025-12-31,35.98252,126.925258,12.0,3.429999999999993,17.97,0.0,0,,0
401,2025-12-31,35.984458,126.921808,12.0,3.429999999999993,17.97,0.0,0,,0
399,2025-12-31,35.979538,126.929792,12.0,3.429999999999993,17.97,0.0,0,,0
398,2025-12-31,35.975401,126.933347,12.0,3.429999999999993,17.97,0.0,0,,0
384,2025-12-31,35.925709,126.979276,12.0,3.429999999999993,17.97,0.0,0,,0
397,2025-12-31,35.971895,126.935194,12.0,3.429999999999993,17.97,0.0,0,,0
396,2025-12-31,35.965969,126.938281,12.0,3.429999999999993,17.97,0.0,0,,0
395,2025-12-31,35.963618,126.941575,12.0,3.429999999999993,17.97,0.0,0,,0
394,2025-12-31,35.961463,126.944843,12.0,3.429999999999993,17.97,0.0,0,,0
393,2025-12-31,35.957479,126.949461,12.0,3.429999999999993,17.97,0.0,0,,0
392,2025-12-31,35.953645,126.953148,12.0,3.429999999999993,17.97,0.0,0,,0
389,2025-12-31,35.942997,126.9622,12.0,3.429999999999993,17.97,0.0,0,,0
383,2025-12-31,35.92321,126.983204,12.0,3.429999999999993,17.97,0.0,0,,0
388,2025-12-31,35.938987,126.965408,12.0,3.429999999999993,17.97,0.0,0,,0
387,2025-12-31,35.936603,126.969941,12.0,3.429999999999993,17.97,0.0,0,,0
386,2025-12-31,35.933129,126.972868,12.0,3.429999999999993,17.97,0.0,0,,0
385,2025-12-31,35.928879,126.975814,12.0,3.429999999999993,17.97,0.0,0,,0
379,2025-12-31,35.908842,126.998177,12.0,3.429999999999993,17.97,0.0,0,,0
380,2025-12-31,35.912711,126.993868,12.0,3.429999999999993,17.97,0.0,0,,0
382,2025-12-31,35.919906,126.987372,12.0,3.429999999999993,17.97,0.0,0,,0
365,2025-12-31,35.990372,126.95845,12.0,3.429999999999993,17.97,0.0,0,,0
364,2025-12-31,35.983286,126.957562,12.0,3.429999999999993,17.97,0.0,0,,0
363,2025-12-31,35.979519,126.958682,12.0,3.429999999999993,17.97,0.0,0,,0
378,2025-12-31,35.904996,127.000287,12.0,3.429999999999993,17.97,0.0,0,,0
377,2025-12-31,35.901213,127.004396,12.0,3.429999999999993,17.97,0.0,0,,0
376,2025-12-31,35.897537,127.008534,12.0,3.429999999999993,17.97,0.0,0,,0
375,2025-12-31,35.893913,127.009165,12.0,3.429999999999993,17.97,0.0,0,,0
374,2025-12-31,35.891777,127.014449,12.0,3.429999999999993,17.97,0.0,0,,0
373,2025-12-31,36.027718,126.958239,12.0,3.429999999999993,17.97,0.0,0,,0
372,2025-12-31,36.023019,126.958074,12.0,3.429999999999993,17.97,0.0,0,,0
371,2025-12-31,36.019848,126.957904,12.0,3.429999999999993,17.97,0.0,0,,0
370,2025-12-31,36.013899,126.957902,12.0,3.429999999999993,17.97,0.0,0,,0
369,2025-12-31,36.009178,126.957255,12.0,3.429999999999993,17.97,0.0,0,,0
368,2025-12-31,36.003218,126.956802,12.0,3.429999999999993,17.97,0.0,0,,0
367,2025-12-31,35.99848,126.958561,12.0,3.429999999999993,17.97,0.0,0,,0
366,2025-12-31,35.994823,126.95808,12.0,3.429999999999993,17.97,0.0,0,,0
357,2025-12-31,35.950792,126.957663,12.0,3.429999999999993,17.97,0.0,0,,0
355,2025-12-31,35.941704,126.957964,12.0,3.429999999999993,17.97,0.0,0,,0
354,2025-12-31,35.935246,126.958111,12.0,3.429999999999993,17.97,0.0,0,,0
362,2025-12-31,35.976012,126.95682,12.0,3.429999999999993,17.97,0.0,0,,0
361,2025-12-31,35.970358,126.957834,12.0,3.429999999999993,17.97,0.0,0,,0
360,2025-12-31,35.965113,126.957936,12.0,3.429999999999993,17.97,0.0,0,,0
359,2025-12-31,35.960141,126.956274,12.0,3.429999999999993,17.97,0.0,0,,0
358,2025-12-31,35.955181,126.958504,12.0,3.429999999999993,17.97,0.0,0,,0
351,2025-12-31,35.921381,126.957405,12.0,3.429999999999993,17.97,0.0,0,,0
350,2025-12-31,35.916504,126.956329,12.0,3.429999999999993,17.97,0.0,0,,0
349,2025-12-31,35.911942,126.958567,12.0,3.429999999999993,17.97,0.0,0,,0
352,2025-12-31,35.925207,126.957762,12.0,3.429999999999993,17.97,0.0,0,,0
348,2025-12-31,35.907068,126.957013,12.0,3.429999999999993,17.97,0.0,0,,0
345,2025-12-31,35.892252,126.957481,12.0,3.429999999999993,17.97,0.0,0,,0
346,2025-12-31,35.896805,126.958043,12.0,3.429999999999993,17.97,0.0,0,,0
347,2025-12-31,35.903309,126.958479,12.0,3.429999999999993,17.97,0.0,0,,0
280,2025-12-31,35.948433,126.915978,12.0,3.429999999999993,17.97,0.0,0,,0
311,2025-12-31,35.90739,126.918092,12.0,3.429999999999993,17.97,0.0,0,,0
309,2025-12-31,35.902187,126.909986,12.0,3.429999999999993,17.97,0.0,0,,0
344,2025-12-31,35.888643,126.958921,12.0,3.429999999999993,17.97,0.0,0,,0
343,2025-12-31,35.881631,126.957415,12.0,3.429999999999993,17.97,0.0,0,,0
342,2025-12-31,35.878362,126.955789,12.0,3.429999999999993,17.97,0.0,0,,0
341,2025-12-31,35.872336,126.957771,12.0,3.429999999999993,17.97,0.0,0,,0
340,2025-12-31,35.869422,126.9565,12.0,3.429999999999993,17.97,0.0,0,,0
339,2025-12-31,36.004894,127.013813,12.0,3.429999999999993,17.97,0.0,0,,0
338,2025-12-31,36.000872,127.010002,12.0,3.429999999999993,17.97,0.0,0,,0
337,2025-12-31,35.998113,127.006219,12.0,3.429999999999993,17.97,0.0,0,,0
336,2025-12-31,35.995591,127.004573,12.0,3.429999999999993,17.97,0.0,0,,0
335,2025-12-31,35.990952,127.00024,12.0,3.429999999999993,17.97,0.0,0,,0
333,2025-12-31,35.983692,126.993823,12.0,3.429999999999993,17.97,0.0,0,,0
332,2025-12-31,35.980563,126.989583,12.0,3.429999999999993,17.97,0.0,0,,0
331,2025-12-31,35.976972,126.987128,12.0,3.429999999999993,17.97,0.0,0,,0
330,2025-12-31,35.9748,126.983332,12.0,3.429999999999993,17.97,0.0,0,,0
329,2025-12-31,35.969842,126.979209,12.0,3.429999999999993,17.97,0.0,0,,0
328,2025-12-31,35.967248,126.97747,12.0,3.429999999999993,17.97,0.0,0,,0
327,2025-12-31,35.964288,126.973395,12.0,3.429999999999993,17.97,0.0,0,,0
326,2025-12-31,35.959917,126.970373,12.0,3.429999999999993,17.97,0.0,0,,0
325,2025-12-31,35.956457,126.964735,12.0,3.429999999999993,17.97,0.0,0,,0
324,2025-12-31,35.952676,126.962377,12.0,3.429999999999993,17.97,0.0,0,,0
323,2025-12-31,35.950586,126.958855,12.0,3.429999999999993,17.97,0.0,0,,0
321,2025-12-31,35.942679,126.952855,12.0,3.429999999999993,17.97,0.0,0,,0
